id,q,r
6199,""". -- -- ( Time . ) . ) -- - ( Time. ). --""","""1. If so , why do we still have apes , and why are there no"""
5807,"""There 's a lot of discussion there on that issue . But it really does n""","""Of course. Of course . The makers of Expelled were within their right to expel"""
8487,""". `` It 's not helping . The guns these people have , they do n""","""Oh , I would wager about like Mexico , about 80 % fewer than guestimated"""
1760,"""U.S. Shooting : 3 seriously injured in Auburn shootings | KOMO News""","""Pickup strikes group of four youths | Houston & amp ; Texas News | Chron."""
6228,"""4. This is the argument concerning 'choice ' that , to me , rings untrue""","""3. I believe there is a point at which we ( society ) must be prepared"""
3537,"""My point is not that the bible condemns homosexuality. My point is , people are prepared""",""". The bible is not a science textbook . I do not treat it as such ."""
3874,""" Originally Posted by wayneinFL Each owns his own body ? Are you talking about""","""Letter to the EditorDear Mr. President. According to your logic , an infant would"""
6223,""". Really , so you are totally knowable ? See above . You are both know""","""Oh irrational-boy , please do try to understand basic concepts . It 's simple"""
963,"""3. In essence , it seems as though the central claim is that nothing `` intelligent""","""I 'd say no to the first part , and yes to the second . The"""
1420,"""STUTTGART, Germany - A 17-year-old gunman dressed in black""","""Germany has much stricter laws than America does when it comes to gun ownership , and their"""
2066,"""A dead baby. In principle , there is no difference between the two as the result""","""Shooting an intruder when he 's charging at you is the same , in principle"""
5826,"""Stenger’s book is a valuable addition to every school library. This book""","""It's a great idea. It did n't say ~some~ supernatural entities ,"""
555,"""1. `` One of the guns used at Columbine was a Tec-9 ,""",""". So then the law is flawed because criminals could just as easily get their hands on"""
6795,"""I was at a pre-screening event for the film ""The Theory of Everything""","""Well , I was just giving a different perspective from a witness who was also there ,"""
357,"""I don't like abortion. The thing I do n't like about abortion is that""","""There is no reason to oppose religion. Yes there is a reason to opposing it ."""
3622,"""I don't see ID theory , which seems to me to be essentially a form of""","""I agree with you. That is an interesting point- from what I have read of"""
7082,"""1. The phrase `` # # # ` hits the fan `` refers to what would""","""I agree. I 'm glad you made the same correlation I did . ToE"""
3209,"""It seems for some , the birth canal somehow magically transforms the unborn into a person .""",""". Really . For that reason , we , antiabortion atheists , hold that abortionist"""
2519,"""This is a very interesting article. Assuming the article is correct , these findings certainly constitute""","""It means life is a system -- an irreducibly complex system -- not an"""
4766,"""At least we're trying to shoot down another big-government , bureaucratic , wallet-""","""No. More like the wrong side of the issues , ever in search of more money"""
